dia,i,lado,tipo,nivel,entrada,stop,obj,riesgo,hora,ts,R,motivo,neto,dirH1,dirM15,favH1,favM15,diaD,Rinv,motInv,netoInv
2020-01-07,971,1,A,mínimo,1.11832,1.11809,1.11878,2.2999999999995246,8,2020-01-07 07:04:00,-1.0,SL,-1.6217391304349111,-1,-1,False,False,2020-01-07,2.0,TP,1.3782608695650889
2020-01-09,1555,1,B,alto,1.11191,1.11147,1.11279,4.39999999999996,8,2020-01-09 07:44:00,-1.0,SL,-1.3250000000000028,0,1,False,True,2020-01-09,2.0,TP,1.6749999999999972
2020-01-09,1560,-1,B,mínimo,1.11072,1.11162,1.1089199999999997,9.00000000000123,9,2020-01-09 08:09:00,-1.0,SL,-1.158888888888867,1,-1,False,True,2020-01-09,-1.0,SL,-1.158888888888867
2020-01-13,2147,1,B,alto,1.1133,1.11266,1.11458,6.399999999999739,10,2020-01-13 09:04:00,-1.0,SL,-1.223437500000009,-1,1,False,True,2020-01-13,2.0,TP,1.776562499999991
2020-01-13,2159,1,A,mínimo,1.1117,1.11147,1.1121599999999998,2.2999999999995246,11,2020-01-13 10:04:00,-1.0,SL,-1.6217391304349111,-1,-1,False,False,2020-01-13,-1.0,SL,-1.6217391304349111
2020-01-14,2411,-1,A,alto,1.11414,1.11444,1.1135399999999995,3.00000000000189,8,2020-01-14 07:04:00,2.0,TP,1.5233333333336336,1,1,False,False,2020-01-14,-1.0,SL,-1.4766666666663664
2020-01-15,2699,1,B,alto,1.1136,1.11342,1.1139599999999996,1.7999999999984695,8,2020-01-15 07:04:00,-1.0,SL,-1.7944444444451195,-1,-1,False,False,2020-01-15,2.0,TP,1.2055555555548803
2020-01-21,3866,1,A,mínimo,1.10893,1.1089,1.10899,0.2999999999997449,9,2020-01-21 08:19:00,-1.0,SL,-5.766666666670719,-1,-1,False,False,2020-01-21,2.0,TP,-2.7666666666707194
2020-01-22,4143,-1,B,mínimo,1.1077,1.10785,1.1073999999999995,1.500000000000945,8,2020-01-22 07:24:00,-1.0,SL,-1.9533333333327327,1,-1,False,True,2020-01-22,2.0,TP,1.0466666666672673
2020-01-23,4457,1,A,mínimo,1.10815,1.10802,1.10841,1.2999999999996348,10,2020-01-23 09:34:00,2.0,TP,0.899999999999691,1,-1,True,False,2020-01-23,-1.0,SL,-2.1000000000003087
2020-01-24,4733,-1,A,alto,1.1055,1.10526,1.10502,2.40000000000018,9,2020-01-24 08:34:00,-1.0,SL,-1.5958333333332886,-1,1,True,False,2020-01-24,-1.0,SL,-1.5958333333332886
2020-01-24,4720,-1,B,mínimo,1.10439,1.1048,1.10357,4.100000000000215,8,2020-01-24 07:29:00,-1.0,SL,-1.3487804878048597,1,-1,False,True,2020-01-24,2.0,TP,1.6512195121951403
2020-01-27,5007,-1,A,alto,1.10338,1.10355,1.10304,1.7000000000000348,8,2020-01-27 07:24:00,-1.0,SL,-1.841176470588218,1,1,False,False,2020-01-27,2.0,TP,1.158823529411782
2020-01-30,5886,-1,A,alto,1.10172,1.10176,1.10164,0.4000000000004,9,2020-01-30 08:39:00,-1.0,SL,-4.574999999996425,-1,1,True,False,2020-01-30,2.0,TP,-1.5749999999964248
2020-01-31,6155,-1,B,mínimo,1.1018,1.10206,1.1012799999999996,2.60000000000149,8,2020-01-31 07:04:00,-1.0,SL,-1.5499999999996847,1,-1,False,True,2020-01-31,2.0,TP,1.4500000000003153
2020-02-06,7327,1,A,mínimo,1.09969,1.09942,1.10023,2.6999999999999247,9,2020-02-06 08:44:00,2.0,TP,1.4703703703703557,-1,-1,False,False,2020-02-06,-1.0,SL,-1.5296296296296443
2020-02-11,8171,-1,B,mínimo,1.09068,1.09113,1.0897800000000004,4.499999999998394,8,2020-02-11 07:04:00,-1.0,SL,-1.3177777777778912,1,-1,False,True,2020-02-11,2.0,TP,1.6822222222221088
2020-02-18,9614,-1,A,alto,1.0835,1.08362,1.0832599999999997,1.2000000000012,8,2020-02-18 07:34:00,-1.0,SL,-2.191666666665475,1,1,False,False,2020-02-18,-1.0,SL,-2.191666666665475
2020-02-24,10793,-1,B,mínimo,1.08141,1.08251,1.0792099999999998,11.000000000001007,10,2020-02-24 09:49:00,-1.0,SL,-1.129999999999988,1,-1,False,True,2020-02-24,2.0,TP,1.8700000000000119
2020-02-26,11352,-1,A,alto,1.0878,1.08804,1.0873200000000005,2.39999999999796,9,2020-02-26 08:24:00,-1.0,SL,-1.59583333333384,1,1,False,False,2020-02-26,2.0,TP,1.4041666666661603
2020-02-27,11629,-1,A,alto,1.09156,1.09177,1.0911400000000004,2.0999999999982144,8,2020-02-27 07:29:00,-1.0,SL,-1.6809523809529598,1,1,False,False,2020-02-27,-1.0,SL,-1.6809523809529598
2020-03-02,12224,-1,B,alto,1.10711,1.10888,1.10357,17.700000000000493,10,2020-03-02 09:04:00,-1.0,SL,-1.0807909604519752,1,-1,False,True,2020-03-02,2.0,TP,1.9192090395480248
2020-03-03,12519,1,B,mínimo,1.11199,1.11075,1.1144700000000003,12.4000000000013,10,2020-03-03 09:39:00,-1.0,SL,-1.1153225806451492,-1,1,False,True,2020-03-03,-1.0,SL,-1.1153225806451492
2020-03-11,14261,1,A,mínimo,1.13057,1.13019,1.1313300000000002,3.8000000000004697,9,2020-03-11 08:54:00,2.0,TP,1.6236842105263622,-1,-1,False,False,2020-03-11,-1.0,SL,-1.3763157894736378
2020-03-16,15130,-1,B,alto,1.11812,1.12084,1.11268,27.20000000000056,10,2020-03-16 09:19:00,2.0,TP,1.9474264705882365,1,-1,False,True,2020-03-16,-1.0,SL,-1.0525735294117635
2020-03-18,15679,1,A,mínimo,1.0973,1.09664,1.0986199999999997,6.599999999998829,8,2020-03-18 07:04:00,-1.0,SL,-1.216666666666705,-1,-1,False,False,2020-03-18,-1.0,SL,-1.216666666666705
2020-03-18,15685,1,A,mínimo,1.09792,1.09704,1.09968,8.799999999999919,8,2020-03-18 07:34:00,-1.0,SL,-1.1625000000000014,-1,-1,False,False,2020-03-18,2.0,TP,1.8374999999999986
2020-03-18,15689,-1,B,mínimo,1.0959,1.09846,1.0907800000000003,25.59999999999896,8,2020-03-18 07:54:00,-1.0,SL,-1.0558593750000025,-1,1,True,False,2020-03-18,2.0,TP,1.9441406249999977
2020-03-19,15970,1,B,mínimo,1.08526,1.08132,1.0931399999999996,39.39999999999832,8,2020-03-19 07:19:00,-1.0,SL,-1.0362944162436565,-1,-1,False,False,2020-03-19,2.0,TP,1.9637055837563437
2020-03-24,16869,-1,B,alto,1.08719,1.08793,1.0857100000000002,7.399999999999629,11,2020-03-24 10:19:00,2.0,TP,1.806756756756747,1,-1,False,True,2020-03-24,-1.0,SL,-1.193243243243253
2020-04-02,18848,1,B,mínimo,1.09319,1.09171,1.0961500000000004,14.80000000000148,11,2020-04-02 09:24:00,-1.0,SL,-1.096621621621612,-1,1,False,True,2020-04-02,2.0,TP,1.903378378378388
2020-04-15,21398,1,A,mínimo,1.0967,1.09631,1.0974800000000002,3.900000000001125,8,2020-04-15 06:09:00,-1.0,SL,-1.366666666666561,-1,-1,False,False,2020-04-15,2.0,TP,1.633333333333439
2020-04-21,22571,-1,B,mínimo,1.08236,1.08357,1.07994,12.099999999999334,10,2020-04-21 08:04:00,-1.0,SL,-1.1181818181818246,1,-1,False,True,2020-04-21,2.0,TP,1.8818181818181754
2020-04-23,23125,-1,A,alto,1.08266,1.0834,1.08118,7.399999999999629,8,2020-04-23 06:14:00,2.0,TP,1.806756756756747,1,-1,False,True,2020-04-23,-1.0,SL,-1.193243243243253
2020-04-24,23411,1,A,mínimo,1.07642,1.0762,1.0768599999999997,2.199999999998869,8,2020-04-24 06:04:00,-1.0,SL,-1.650000000000334,-1,-1,False,False,2020-04-24,2.0,TP,1.349999999999666
2020-05-05,25450,1,B,alto,1.0915,1.08952,1.0954599999999997,19.799999999998708,10,2020-05-05 08:14:00,-1.0,SL,-1.0722222222222269,-1,1,False,True,2020-05-05,2.0,TP,1.9277777777777731
2020-05-05,25447,1,B,mínimo,1.08985,1.08906,1.09143,7.900000000000684,9,2020-05-05 07:59:00,2.0,TP,1.818987341772168,-1,-1,False,False,2020-05-05,-1.0,SL,-1.1810126582278324
2020-05-07,26002,1,B,alto,1.08029,1.07955,1.08177,7.399999999999629,8,2020-05-07 06:14:00,-1.0,SL,-1.193243243243253,-1,1,False,True,2020-05-07,2.0,TP,1.806756756756747
2020-05-07,26013,1,B,alto,1.08009,1.07891,1.08245,11.799999999999589,9,2020-05-07 07:09:00,-1.0,SL,-1.1211864406779704,-1,1,False,True,2020-05-07,-1.0,SL,-1.1211864406779704
2020-05-07,26007,-1,B,mínimo,1.07875,1.07983,1.0765900000000002,10.7999999999997,8,2020-05-07 06:39:00,-1.0,SL,-1.132407407407411,-1,1,True,False,2020-05-07,2.0,TP,1.867592592592589
2020-05-07,26035,1,A,mínimo,1.07929,1.07904,1.0797900000000002,2.500000000000835,10,2020-05-07 08:59:00,-1.0,SL,-1.571999999999809,-1,-1,False,False,2020-05-07,-1.0,SL,-1.571999999999809
2020-05-11,26591,1,A,mínimo,1.08322,1.083,1.0836600000000003,2.20000000000109,9,2020-05-11 07:19:00,2.0,TP,1.350000000000322,-1,-1,False,False,2020-05-11,-1.0,SL,-1.649999999999678
2020-05-15,27728,1,B,alto,1.08094,1.08041,1.082,5.299999999999194,8,2020-05-15 06:04:00,-1.0,SL,-1.269811320754758,-1,-1,False,False,2020-05-15,2.0,TP,1.730188679245242
2020-05-18,28026,-1,A,alto,1.08195,1.08253,1.08079,5.800000000000249,8,2020-05-18 06:59:00,2.0,TP,1.7534482758620795,-1,1,True,False,2020-05-18,-1.0,SL,-1.2465517241379205
2020-05-19,28332,-1,B,alto,1.09217,1.09339,1.08973,12.199999999999989,10,2020-05-19 08:29:00,-1.0,SL,-1.1172131147540985,1,-1,False,True,2020-05-19,2.0,TP,1.8827868852459015
2020-05-25,29482,1,B,mínimo,1.08862,1.08806,1.0897399999999997,5.599999999998939,10,2020-05-25 08:34:00,2.0,TP,1.7446428571428088,-1,1,False,True,2020-05-25,-1.0,SL,-1.2553571428571912
2020-05-27,30064,-1,B,mínimo,1.09386,1.09682,1.0879400000000004,29.59999999999852,11,2020-05-27 09:04:00,-1.0,SL,-1.0483108108108132,1,-1,False,True,2020-05-27,2.0,TP,1.9516891891891868
2020-05-28,30330,1,A,mínimo,1.10147,1.10106,1.10229,4.100000000000215,9,2020-05-28 07:14:00,-1.0,SL,-1.3487804878048597,-1,-1,False,False,2020-05-28,2.0,TP,1.6512195121951403
2020-05-28,30354,1,B,mínimo,1.10076,1.09922,1.1038399999999997,15.399999999998748,11,2020-05-28 09:14:00,2.0,TP,1.9071428571428497,-1,1,False,True,2020-05-28,-1.0,SL,-1.0928571428571503
2020-05-29,30621,-1,A,alto,1.11075,1.11107,1.1101099999999997,3.20000000000098,9,2020-05-29 07:29:00,2.0,TP,1.5531250000001369,1,1,False,False,2020-05-29,-1.0,SL,-1.4468749999998631
2020-06-01,30893,1,B,alto,1.11435,1.1138,1.11545,5.5000000000005045,8,2020-06-01 06:09:00,-1.0,SL,-1.2599999999999765,-1,1,False,True,2020-06-01,-1.0,SL,-1.2599999999999763
2020-06-03,31468,1,B,alto,1.12065,1.12011,1.12173,5.399999999999849,8,2020-06-03 06:04:00,2.0,TP,1.7351851851851778,1,-1,True,False,2020-06-03,-1.0,SL,-1.2648148148148222
2020-06-03,31487,-1,B,alto,1.12137,1.12236,1.11939,9.900000000000464,9,2020-06-03 07:39:00,2.0,TP,1.8555555555555625,1,1,False,False,2020-06-03,-1.0,SL,-1.1444444444444377
2020-06-08,32332,-1,B,mínimo,1.12829,1.12941,1.12605,11.2000000000001,8,2020-06-08 06:04:00,-1.0,SL,-1.1276785714285702,1,-1,False,True,2020-06-08,2.0,TP,1.8723214285714298
2020-06-12,33521,-1,B,alto,1.13113,1.13252,1.12835,13.900000000000023,11,2020-06-12 09:19:00,-1.0,SL,-1.1028776978417263,1,-1,False,True,2020-06-12,-1.0,SL,-1.1028776978417265
2020-06-16,34071,1,B,alto,1.13473,1.13405,1.13609,6.800000000000139,9,2020-06-16 07:09:00,-1.0,SL,-1.2102941176470543,-1,1,False,True,2020-06-16,2.0,TP,1.7897058823529455
2020-06-16,34082,-1,B,mínimo,1.13204,1.1329,1.1303199999999998,8.60000000000083,10,2020-06-16 08:04:00,-1.0,SL,-1.166279069767426,1,-1,False,True,2020-06-16,2.0,TP,1.833720930232574
2020-06-17,34368,-1,B,alto,1.12665,1.12902,1.12191,23.699999999999832,9,2020-06-17 07:59:00,2.0,TP,1.939662447257384,1,-1,False,True,2020-06-17,-1.0,SL,-1.0603375527426164
2020-06-22,35219,1,B,alto,1.12035,1.1198,1.12145,5.5000000000005045,8,2020-06-22 06:54:00,-1.0,SL,-1.2599999999999765,1,-1,True,False,2020-06-22,2.0,TP,1.7400000000000237
2020-06-25,36089,1,B,mínimo,1.12424,1.12299,1.12674,12.499999999999734,9,2020-06-25 07:34:00,-1.0,SL,-1.1144000000000025,-1,1,False,True,2020-06-25,2.0,TP,1.8855999999999975
2020-06-30,36958,1,B,mínimo,1.12268,1.12186,1.1243199999999995,8.199999999998209,10,2020-06-30 08:04:00,-1.0,SL,-1.1743902439024771,-1,1,False,True,2020-06-30,2.0,TP,1.8256097560975229
2020-07-09,38978,1,A,mínimo,1.13329,1.13287,1.1341299999999996,4.199999999998649,10,2020-07-09 08:49:00,-1.0,SL,-1.3404761904762998,-1,-1,False,False,2020-07-09,2.0,TP,1.6595238095237002
2020-07-17,40691,1,B,alto,1.13947,1.13879,1.14083,6.800000000000139,9,2020-07-17 07:39:00,-1.0,SL,-1.2102941176470543,-1,1,False,True,2020-07-17,-1.0,SL,-1.2102941176470545
2020-07-22,41560,1,B,mínimo,1.15294,1.15169,1.15544,12.499999999999734,10,2020-07-22 08:09:00,-1.0,SL,-1.1144000000000025,-1,-1,False,False,2020-07-22,-1.0,SL,-1.1144000000000025
2020-07-22,41573,1,B,mínimo,1.15293,1.15169,1.1554099999999998,12.399999999999078,11,2020-07-22 09:14:00,2.0,TP,1.88467741935483,1,-1,True,False,2020-07-22,-1.0,SL,-1.1153225806451699
2020-07-24,42129,1,B,alto,1.16209,1.16099,1.1642900000000005,11.000000000001007,9,2020-07-24 07:49:00,-1.0,SL,-1.129999999999988,-1,-1,False,False,2020-07-24,2.0,TP,1.8700000000000119
2020-07-30,43258,1,A,mínimo,1.17607,1.17589,1.1764299999999996,1.7999999999984695,8,2020-07-30 06:04:00,-1.0,SL,-1.7944444444451195,-1,-1,False,False,2020-07-30,2.0,TP,1.2055555555548803
2020-07-31,43583,1,A,mínimo,1.18442,1.18416,1.18494,2.5999999999992696,11,2020-07-31 09:14:00,-1.0,SL,-1.5500000000001544,-1,-1,False,False,2020-07-31,2.0,TP,1.4499999999998456
2020-08-04,44150,-1,B,alto,1.17744,1.17901,1.1743000000000003,15.699999999998491,10,2020-08-04 08:34:00,-1.0,SL,-1.0910828025477797,1,-1,False,True,2020-08-04,2.0,TP,1.9089171974522205
2020-08-10,45272,1,B,alto,1.17959,1.17917,1.1804299999999996,4.199999999998649,8,2020-08-10 06:04:00,-1.0,SL,-1.3404761904762998,-1,1,False,True,2020-08-10,-1.0,SL,-1.3404761904762998
