dia,ses,lado,entrada,stop,riesgo,edad,ts,R,motivo,ins
2023-01-03,NY,1,1838.735,1827.515,11.2199999999998,1,2023-01-03 18:59:00,2.0,TP,XAUUSD
2023-01-04,NY,1,1853.798,1846.928,6.869999999999891,1,2023-01-04 21:59:00,-1.0,SL,XAUUSD
2023-01-05,Londres,1,1848.915,1843.715,5.2000000000000455,2,2023-01-05 10:59:00,-1.0,SL,XAUUSD
2023-01-06,Asia,1,1838.125,1830.022,8.103000000000065,6,2023-01-06 02:59:00,2.0,TP,XAUUSD
2023-01-09,Londres,-1,1871.485,1880.915,9.430000000000064,1,2023-01-09 10:59:00,-1.0,SL,XAUUSD
2023-01-10,Asia,1,1872.695,1867.735,4.960000000000036,1,2023-01-10 02:59:00,2.0,TP,XAUUSD
2023-01-11,Asia,-1,1874.905,1878.335,3.4300000000000637,2,2023-01-11 02:59:00,-1.0,SL,XAUUSD
2023-01-12,Asia,1,1883.585,1874.338,9.247000000000071,2,2023-01-12 02:59:00,-1.0,SL,XAUUSD
2023-01-16,Asia,-1,1915.745,1928.895,13.150000000000091,1,2023-01-16 06:59:00,0.5490494296577757,tiempo,XAUUSD
2023-01-17,Asia,-1,1910.588,1918.935,8.34699999999998,1,2023-01-17 02:59:00,-1.0,SL,XAUUSD
2023-01-18,Asia,1,1903.995,1900.445,3.5499999999999545,1,2023-01-18 02:59:00,-1.0,SL,XAUUSD
2023-01-19,Asia,1,1907.007,1900.845,6.162000000000035,1,2023-01-19 02:59:00,2.0,TP,XAUUSD
2023-01-20,Londres,-1,1929.915,1937.445,7.529999999999973,1,2023-01-20 10:59:00,0.4820717131473964,tiempo,XAUUSD
2023-01-23,Asia,1,1931.688,1923.598,8.090000000000146,2,2023-01-23 02:59:00,-1.0,SL,XAUUSD
2023-01-24,Asia,-1,1934.615,1936.995,2.3799999999998818,3,2023-01-24 02:59:00,-1.0,SL,XAUUSD
2023-01-25,Asia,-1,1935.155,1939.538,4.383000000000038,1,2023-01-25 02:59:00,2.0,TP,XAUUSD
2023-01-26,Asia,-1,1945.145,1949.095,3.9500000000000455,1,2023-01-26 02:59:00,2.0,TP,XAUUSD
2023-01-27,Asia,-1,1925.665,1934.735,9.069999999999936,5,2023-01-27 02:59:00,-1.0,SL,XAUUSD
2023-01-30,Asia,1,1926.275,1924.655,1.6200000000001182,9,2023-01-30 02:59:00,-1.0,SL,XAUUSD
2023-01-31,Asia,1,1925.425,1920.958,4.466999999999871,3,2023-01-31 02:59:00,-1.0,SL,XAUUSD
2023-02-01,Asia,-1,1925.158,1928.675,3.5170000000000528,3,2023-02-01 02:59:00,-1.0,SL,XAUUSD
2023-02-02,Asia,-1,1952.185,1957.148,4.962999999999965,1,2023-02-02 02:59:00,-1.0,SL,XAUUSD
2023-02-03,Asia,1,1916.335,1911.288,5.0470000000000255,9,2023-02-03 02:59:00,-1.0,SL,XAUUSD
2023-02-06,Asia,1,1873.425,1859.637,13.788000000000011,1,2023-02-06 02:59:00,0.41412822744415667,tiempo,XAUUSD
2023-02-07,Asia,1,1874.335,1866.587,7.748000000000047,2,2023-02-07 02:59:00,-1.0,SL,XAUUSD
2023-02-08,Asia,-1,1876.815,1878.305,1.490000000000009,2,2023-02-08 02:59:00,-1.0,SL,XAUUSD
2023-02-09,Asia,1,1879.135,1871.898,7.23700000000008,2,2023-02-09 02:59:00,-1.0,SL,XAUUSD
2023-02-10,Asia,1,1859.305,1852.578,6.727000000000089,1,2023-02-10 06:59:00,0.5173182696595766,tiempo,XAUUSD
2023-02-13,Asia,1,1861.455,1858.035,3.4199999999998454,4,2023-02-13 02:59:00,-1.0,SL,XAUUSD
2023-02-14,Asia,1,1857.495,1852.887,4.607999999999947,2,2023-02-14 02:59:00,-1.0,SL,XAUUSD
2023-02-15,Asia,1,1843.475,1841.985,1.490000000000009,1,2023-02-15 06:59:00,-1.0,SL,XAUUSD
2023-02-16,Asia,1,1842.145,1834.395,7.75,3,2023-02-16 02:59:00,-1.0,SL,XAUUSD
2023-02-17,Asia,1,1829.418,1825.865,3.5529999999998836,1,2023-02-17 02:59:00,-1.0,SL,XAUUSD
2023-02-20,Asia,-1,1842.225,1843.085,0.8600000000001273,6,2023-02-20 02:59:00,-1.0,SL,XAUUSD
2023-02-21,Asia,1,1841.325,1839.885,1.4400000000000546,1,2023-02-21 02:59:00,-1.0,SL,XAUUSD
2023-02-22,Asia,-1,1835.865,1838.345,2.480000000000018,9,2023-02-22 02:59:00,-1.0,SL,XAUUSD
2023-02-23,Asia,1,1829.585,1823.035,6.5499999999999545,1,2023-02-23 02:59:00,-1.0,SL,XAUUSD
2023-02-24,Asia,1,1824.825,1822.905,1.9200000000000728,2,2023-02-24 02:59:00,-1.0,SL,XAUUSD
2023-02-27,Londres,1,1810.515,1807.055,3.4600000000000364,2,2023-02-27 10:59:00,2.0,TP,XAUUSD
2023-02-28,Asia,1,1817.688,1815.2450000000001,2.4429999999999836,7,2023-02-28 02:59:00,-1.0,SL,XAUUSD
2023-03-01,Asia,-1,1827.635,1829.435,1.7999999999999545,9,2023-03-01 02:59:00,-1.0,SL,XAUUSD
2023-03-02,Asia,1,1834.415,1830.935,3.480000000000018,1,2023-03-02 02:59:00,-1.0,SL,XAUUSD
2023-03-03,Asia,-1,1838.545,1841.445,2.8999999999998636,1,2023-03-03 02:59:00,-1.0,SL,XAUUSD
2023-03-06,Asia,-1,1853.358,1856.385,3.0270000000000437,1,2023-03-06 06:59:00,-1.0,SL,XAUUSD
2023-03-07,Asia,1,1849.045,1844.035,5.009999999999991,1,2023-03-07 02:59:00,-1.0,SL,XAUUSD
2023-03-08,Asia,1,1813.855,1809.238,4.616999999999962,1,2023-03-08 06:59:00,2.0,TP,XAUUSD
2023-03-09,Asia,1,1813.005,1811.795,1.2100000000000364,1,2023-03-09 02:59:00,2.0,TP,XAUUSD
2023-03-10,Londres,-1,1832.665,1837.2549999999999,4.589999999999918,1,2023-03-10 10:59:00,-1.0,SL,XAUUSD
2023-03-13,Asia,1,1882.505,1872.048,10.457000000000107,1,2023-03-13 02:59:00,-1.0,SL,XAUUSD
2023-03-14,Asia,-1,1902.845,1913.994,11.148999999999887,1,2023-03-14 02:59:00,-1.0,SL,XAUUSD
2023-03-15,Asia,1,1902.725,1899.785,2.939999999999827,1,2023-03-15 02:59:00,-1.0,SL,XAUUSD
2023-03-16,Asia,-1,1913.135,1924.295,11.160000000000082,5,2023-03-16 02:59:00,-1.0,SL,XAUUSD
2023-03-17,Asia,-1,1930.265,1934.275,4.009999999999991,1,2023-03-17 06:59:00,-1.0,SL,XAUUSD
2023-03-20,Asia,1,2003.415,1972.914,30.500999999999976,1,2023-03-20 06:59:00,-1.0,SL,XAUUSD
2023-03-21,Asia,-1,1983.755,1985.035,1.2799999999999727,1,2023-03-21 02:59:00,2.0,TP,XAUUSD
2023-03-22,Asia,1,1939.735,1934.165,5.569999999999936,1,2023-03-22 06:59:00,2.0,TP,XAUUSD
2023-03-23,Asia,1,1976.745,1966.235,10.509999999999991,6,2023-03-23 02:59:00,2.0,TP,XAUUSD
2023-03-24,Londres,1,1995.695,1981.125,14.569999999999936,1,2023-03-24 10:59:00,-1.0,SL,XAUUSD
2023-03-27,Asia,1,1974.345,1969.094,5.250999999999976,5,2023-03-27 01:59:00,-1.0,SL,XAUUSD
2023-03-28,Londres,-1,1953.705,1959.435,5.730000000000018,2,2023-03-28 09:59:00,-1.0,SL,XAUUSD
2023-03-29,Asia,-1,1969.025,1974.234,5.208999999999833,5,2023-03-29 01:59:00,2.0,TP,XAUUSD
2023-03-30,Asia,1,1958.998,1955.194,3.8040000000000873,2,2023-03-30 01:59:00,2.0,TP,XAUUSD
2023-03-31,Asia,-1,1982.285,1983.555,1.2699999999999818,1,2023-03-31 01:59:00,2.0,TP,XAUUSD
2023-04-03,Asia,-1,1960.235,1972.308,12.073000000000093,5,2023-04-03 01:59:00,-1.0,SL,XAUUSD
2023-04-04,Asia,-1,1978.124,1985.385,7.260999999999967,5,2023-04-04 01:59:00,-1.0,SL,XAUUSD
2023-04-05,Asia,-1,2024.148,2025.245,1.09699999999998,1,2023-04-05 05:59:00,-1.0,SL,XAUUSD
2023-04-06,Asia,1,2015.554,2007.905,7.649000000000115,1,2023-04-06 05:59:00,-1.0,SL,XAUUSD
2023-04-10,NY,1,1988.875,1987.065,1.8099999999999454,2,2023-04-10 17:59:00,2.0,TP,XAUUSD
2023-04-11,Asia,-1,1991.105,1995.308,4.2029999999999745,1,2023-04-11 01:59:00,-1.0,SL,XAUUSD
2023-04-12,Asia,1,2014.615,2002.825,11.789999999999964,8,2023-04-12 01:59:00,2.0,TP,XAUUSD
2023-04-13,Asia,-1,2017.825,2019.715,1.8899999999998727,2,2023-04-13 01:59:00,-1.0,SL,XAUUSD
2023-04-14,Londres,-1,2024.575,2042.105,17.529999999999973,3,2023-04-14 12:59:00,1.3736451796919675,tiempo,XAUUSD
2023-04-17,Asia,1,2003.105,1995.285,7.819999999999936,7,2023-04-17 01:59:00,-1.0,SL,XAUUSD
2023-04-18,Asia,1,1997.615,1993.188,4.426999999999907,3,2023-04-18 01:59:00,-1.0,SL,XAUUSD
2023-04-19,Asia,-1,2003.298,2008.055,4.757000000000062,2,2023-04-19 01:59:00,2.0,TP,XAUUSD
2023-04-20,Asia,-1,1995.665,1998.655,2.990000000000009,1,2023-04-20 01:59:00,-1.0,SL,XAUUSD
2023-04-21,Asia,-1,2001.995,2005.5049999999999,3.509999999999991,2,2023-04-21 01:59:00,2.0,TP,XAUUSD
2023-04-24,Asia,1,1979.305,1978.975,0.3300000000001546,7,2023-04-24 01:59:00,-1.0,SL,XAUUSD
2023-04-25,Asia,-1,1997.085,2000.875,3.7899999999999636,5,2023-04-25 01:59:00,2.0,TP,XAUUSD
2023-04-26,Asia,-1,1998.938,2002.375,3.436999999999898,1,2023-04-26 01:59:00,2.0,TP,XAUUSD
2023-04-27,Asia,1,1992.575,1989.4180000000001,3.1569999999999254,2,2023-04-27 01:59:00,2.0,TP,XAUUSD
2023-04-28,Asia,-1,1990.415,1991.475,1.0599999999999454,1,2023-04-28 01:59:00,2.0,TP,XAUUSD
2023-05-01,Asia,-1,1981.745,1989.074,7.329000000000178,2,2023-05-01 01:59:00,-1.0,SL,XAUUSD
2023-05-02,Londres,-1,1984.065,1986.285,2.2200000000000273,1,2023-05-02 09:59:00,-1.0,SL,XAUUSD
2023-05-03,Asia,-1,2014.785,2019.475,4.689999999999827,1,2023-05-03 05:59:00,-1.0,SL,XAUUSD
2023-05-04,Londres,-1,2037.755,2043.364,5.608999999999924,2,2023-05-04 09:59:00,-1.0,SL,XAUUSD
2023-05-05,Londres,-1,2037.775,2048.235,10.460000000000036,3,2023-05-05 09:59:00,2.0,TP,XAUUSD
2023-05-08,NY,-1,2023.705,2029.234,5.528999999999996,1,2023-05-08 17:59:00,-1.0,SL,XAUUSD
2023-05-09,Asia,1,2022.715,2019.334,3.380999999999858,2,2023-05-09 01:59:00,2.0,TP,XAUUSD
2023-05-10,Asia,-1,2032.744,2038.154,5.410000000000082,1,2023-05-10 01:59:00,-1.0,SL,XAUUSD
2023-05-11,Asia,-1,2032.165,2034.095,1.9300000000000637,2,2023-05-11 05:59:00,2.0,TP,XAUUSD
2023-05-12,Londres,1,2014.054,2002.455,11.59900000000016,1,2023-05-12 12:59:00,-0.09052504526253706,tiempo,XAUUSD
2023-05-15,Asia,1,2017.475,2008.585,8.889999999999873,4,2023-05-15 01:59:00,-1.0,SL,XAUUSD
2023-05-16,Asia,1,2017.604,2013.634,3.9700000000000273,1,2023-05-16 01:59:00,-1.0,SL,XAUUSD
2023-05-17,Londres,1,1987.324,1983.624,3.7000000000000455,2,2023-05-17 11:59:00,-1.0,SL,XAUUSD
2023-05-18,Asia,1,1985.054,1981.885,3.1690000000000964,2,2023-05-18 01:59:00,-1.0,SL,XAUUSD
2023-05-19,Asia,1,1957.105,1953.895,3.2100000000000364,1,2023-05-19 01:59:00,2.0,TP,XAUUSD
2023-05-22,Asia,-1,1980.215,1982.235,2.019999999999982,5,2023-05-22 01:59:00,2.0,TP,XAUUSD
2023-05-23,Asia,-1,1960.305,1971.695,11.389999999999873,5,2023-05-23 01:59:00,-1.0,SL,XAUUSD
2023-05-24,Asia,-1,1973.835,1976.968,3.133000000000038,10,2023-05-24 01:59:00,-1.0,SL,XAUUSD
2023-05-25,Londres,1,1960.945,1954.825,6.119999999999891,2,2023-05-25 09:59:00,-1.0,SL,XAUUSD
2023-05-26,Asia,1,1946.715,1936.645,10.069999999999936,1,2023-05-26 01:59:00,-0.35849056603772816,tiempo,XAUUSD
2023-05-29,Asia,1,1946.895,1942.525,4.369999999999891,2,2023-05-29 05:59:00,-1.0,SL,XAUUSD
2023-05-30,Asia,1,1944.905,1940.935,3.9700000000000273,1,2023-05-30 01:59:00,-1.0,SL,XAUUSD
2023-05-31,Asia,-1,1954.755,1960.355,5.599999999999909,8,2023-05-31 01:59:00,-1.0,SL,XAUUSD
2023-06-01,Asia,-1,1962.665,1966.075,3.410000000000082,2,2023-06-01 05:59:00,2.0,TP,XAUUSD
2023-06-02,Asia,-1,1980.475,1983.325,2.8500000000001364,1,2023-06-02 05:59:00,2.0,TP,XAUUSD
2023-06-05,Londres,1,1944.695,1938.355,6.339999999999918,1,2023-06-05 09:59:00,-1.0,SL,XAUUSD
2023-06-06,Asia,-1,1960.405,1963.025,2.6200000000001182,1,2023-06-06 01:59:00,-1.0,SL,XAUUSD
2023-06-07,Asia,-1,1964.795,1966.698,1.90300000000002,1,2023-06-07 01:59:00,2.0,TP,XAUUSD
2023-06-08,Asia,1,1945.815,1939.534,6.280999999999949,1,2023-06-08 01:59:00,2.0,TP,XAUUSD
2023-06-09,Asia,-1,1964.375,1966.295,1.9200000000000728,7,2023-06-09 01:59:00,2.0,TP,XAUUSD
2023-06-12,Asia,1,1959.025,1954.175,4.850000000000136,1,2023-06-12 05:59:00,-1.0,SL,XAUUSD
2023-06-13,Asia,1,1956.865,1956.025,0.8399999999999181,4,2023-06-13 01:59:00,-1.0,SL,XAUUSD
2023-06-14,Londres,1,1951.235,1945.115,6.119999999999891,5,2023-06-14 09:59:00,-1.0,SL,XAUUSD
2023-06-15,Londres,1,1935.715,1928.825,6.889999999999873,1,2023-06-15 09:59:00,-1.0,SL,XAUUSD
2023-06-16,Asia,-1,1959.225,1961.945,2.7200000000000273,1,2023-06-16 01:59:00,-1.0,SL,XAUUSD
2023-06-19,Asia,1,1954.555,1953.834,0.7210000000000036,3,2023-06-19 05:59:00,-1.0,SL,XAUUSD
2023-06-20,Asia,-1,1946.895,1953.948,7.053000000000111,1,2023-06-20 01:59:00,-1.0,SL,XAUUSD
2023-06-21,NY,1,1933.205,1924.135,9.069999999999936,1,2023-06-21 16:59:00,-1.0,SL,XAUUSD
2023-06-22,Londres,1,1928.558,1924.754,3.8040000000000873,1,2023-06-22 09:59:00,-1.0,SL,XAUUSD
2023-06-23,Asia,1,1915.145,1910.055,5.089999999999918,1,2023-06-23 05:59:00,2.0,TP,XAUUSD
2023-06-26,Asia,-1,1925.355,1928.495,3.1399999999998727,4,2023-06-26 01:59:00,-1.0,SL,XAUUSD
2023-06-27,Asia,1,1929.058,1921.605,7.4529999999999745,1,2023-06-27 01:59:00,-1.0,SL,XAUUSD
2023-06-28,NY,1,1911.615,1906.035,5.579999999999927,3,2023-06-28 17:59:00,-1.0,SL,XAUUSD
2023-06-29,Londres,1,1905.065,1902.445,2.6200000000001182,1,2023-06-29 09:59:00,2.0,TP,XAUUSD
2023-06-30,Londres,1,1905.095,1900.455,4.6400000000001,3,2023-06-30 09:59:00,2.0,TP,XAUUSD
2023-07-03,Asia,-1,1916.745,1920.448,3.703000000000202,9,2023-07-03 05:59:00,-1.0,SL,XAUUSD
2023-07-04,Londres,-1,1929.588,1930.565,0.9770000000000891,2,2023-07-04 09:59:00,2.0,TP,XAUUSD
2023-07-05,Asia,1,1924.095,1923.865,0.2300000000000182,1,2023-07-05 01:59:00,-1.0,SL,XAUUSD
2023-07-06,Asia,1,1920.025,1916.838,3.1870000000001255,6,2023-07-06 05:59:00,-1.0,SL,XAUUSD
2023-07-07,Asia,1,1914.215,1909.785,4.429999999999836,10,2023-07-07 05:59:00,2.0,TP,XAUUSD
2023-07-10,Asia,-1,1924.875,1926.845,1.9700000000000273,5,2023-07-10 01:59:00,2.0,TP,XAUUSD
2023-07-11,Asia,-1,1925.445,1927.7549999999999,2.3099999999999454,1,2023-07-11 01:59:00,-1.0,SL,XAUUSD
2023-07-12,Asia,-1,1937.388,1939.0049999999999,1.6169999999999618,2,2023-07-12 01:59:00,-1.0,SL,XAUUSD
2023-07-13,Asia,-1,1955.335,1962.215,6.879999999999882,1,2023-07-13 05:59:00,-1.0,SL,XAUUSD
2023-07-14,Asia,-1,1958.775,1963.595,4.819999999999936,1,2023-07-14 05:59:00,1.020124481327844,tiempo,XAUUSD
2023-07-17,Asia,1,1953.858,1950.825,3.0329999999999018,1,2023-07-17 05:59:00,-1.0,SL,XAUUSD
2023-07-18,Asia,-1,1957.095,1959.475,2.3799999999998818,2,2023-07-18 01:59:00,-1.0,SL,XAUUSD
2023-07-19,Londres,-1,1977.075,1980.785,3.7100000000000364,1,2023-07-19 09:59:00,-1.0,SL,XAUUSD
2023-07-20,Asia,-1,1980.685,1987.395,6.710000000000036,2,2023-07-20 05:59:00,2.0,TP,XAUUSD
2023-07-21,Asia,1,1972.248,1969.205,3.04300000000012,5,2023-07-21 01:59:00,-1.0,SL,XAUUSD
2023-07-24,Asia,1,1961.385,1959.005,2.3799999999998818,2,2023-07-24 01:59:00,-1.0,SL,XAUUSD
2023-07-25,Asia,1,1962.495,1953.795,8.699999999999818,1,2023-07-25 01:59:00,-1.0,SL,XAUUSD
2023-07-26,Asia,-1,1963.725,1966.135,2.410000000000082,1,2023-07-26 01:59:00,-1.0,SL,XAUUSD
2023-07-27,Asia,-1,1975.605,1982.095,6.490000000000009,1,2023-07-27 05:59:00,2.0,TP,XAUUSD
2023-07-28,Asia,1,1952.645,1948.405,4.240000000000009,7,2023-07-28 05:59:00,-1.0,SL,XAUUSD
2023-07-31,Asia,-1,1956.615,1960.465,3.849999999999909,2,2023-07-31 01:59:00,-1.0,SL,XAUUSD
2023-08-01,Asia,-1,1960.875,1965.895,5.019999999999982,2,2023-08-01 01:59:00,2.0,TP,XAUUSD
2023-08-02,Asia,1,1948.855,1945.155,3.7000000000000455,8,2023-08-02 05:59:00,-1.0,SL,XAUUSD
2023-08-03,Asia,1,1935.065,1932.775,2.2899999999999636,1,2023-08-03 05:59:00,-1.0,SL,XAUUSD
2023-08-04,Londres,1,1933.388,1932.025,1.362999999999829,1,2023-08-04 09:59:00,-1.0,SL,XAUUSD
2023-08-07,Asia,1,1942.315,1941.095,1.2200000000000273,10,2023-08-07 01:59:00,-1.0,SL,XAUUSD
2023-08-08,Asia,-1,1931.515,1937.955,6.439999999999827,5,2023-08-08 01:59:00,2.0,TP,XAUUSD
2023-08-09,Asia,1,1927.555,1924.125,3.4300000000000637,7,2023-08-09 01:59:00,-1.0,SL,XAUUSD
2023-08-10,Londres,-1,1922.695,1930.0049999999999,7.309999999999945,2,2023-08-10 13:59:00,1.274555403556782,tiempo,XAUUSD
2023-08-11,Asia,1,1915.458,1910.684,4.774000000000115,1,2023-08-11 01:59:00,-1.0,SL,XAUUSD
2023-08-14,Asia,1,1911.475,1909.934,1.54099999999994,3,2023-08-14 01:59:00,2.0,TP,XAUUSD
2023-08-15,Londres,1,1904.335,1902.808,1.5270000000000437,1,2023-08-15 09:59:00,-1.0,SL,XAUUSD
2023-08-16,Asia,1,1902.715,1900.075,2.6399999999998727,2,2023-08-16 01:59:00,-1.0,SL,XAUUSD
2023-08-17,Asia,1,1892.585,1889.535,3.0499999999999545,1,2023-08-17 01:59:00,2.0,TP,XAUUSD
2023-08-18,Asia,1,1893.505,1888.628,4.87700000000018,2,2023-08-18 01:59:00,-1.0,SL,XAUUSD
2023-08-21,Asia,1,1885.385,1884.885,0.5,4,2023-08-21 01:59:00,-1.0,SL,XAUUSD
2023-08-22,Asia,-1,1895.015,1897.205,2.189999999999827,4,2023-08-22 01:59:00,-1.0,SL,XAUUSD
2023-08-23,Asia,-1,1902.495,1903.905,1.4100000000000819,1,2023-08-23 05:59:00,-1.0,SL,XAUUSD
2023-08-24,Londres,-1,1919.505,1922.815,3.3099999999999454,1,2023-08-24 09:59:00,2.0,TP,XAUUSD
2023-08-25,Asia,1,1916.848,1914.565,2.2829999999999018,2,2023-08-25 01:59:00,-1.0,SL,XAUUSD
2023-08-28,Asia,1,1915.435,1914.155,1.2799999999999727,6,2023-08-28 01:59:00,-1.0,SL,XAUUSD
2023-08-29,Asia,-1,1921.995,1922.975,0.9800000000000182,4,2023-08-29 01:59:00,-1.0,SL,XAUUSD
2023-08-30,Londres,1,1937.914,1934.828,3.0860000000000127,1,2023-08-30 09:59:00,2.0,TP,XAUUSD
2023-08-31,Londres,-1,1943.655,1947.835,4.180000000000064,1,2023-08-31 13:59:00,-1.0,SL,XAUUSD
2023-09-01,Asia,1,1942.515,1938.615,3.900000000000091,1,2023-09-01 01:59:00,-1.0,SL,XAUUSD
2023-09-04,Asia,1,1942.965,1939.264,3.701000000000022,6,2023-09-04 01:59:00,-1.0,SL,XAUUSD
2023-09-05,Asia,1,1936.965,1935.035,1.9299999999998363,1,2023-09-05 05:59:00,-1.0,SL,XAUUSD
2023-09-06,Asia,1,1928.165,1924.285,3.8799999999998818,1,2023-09-06 05:59:00,-1.0,SL,XAUUSD
2023-09-07,Londres,-1,1919.975,1923.5049999999999,3.5299999999999727,1,2023-09-07 13:59:00,-1.0,SL,XAUUSD
2023-09-08,Asia,1,1925.795,1918.998,6.7970000000000255,5,2023-09-08 01:59:00,-1.0,SL,XAUUSD
2023-09-11,Asia,1,1922.305,1916.574,5.7309999999999945,1,2023-09-11 01:59:00,-1.0,SL,XAUUSD
2023-09-12,Asia,1,1921.825,1920.235,1.5900000000001455,1,2023-09-12 01:59:00,-1.0,SL,XAUUSD
2023-09-13,Asia,1,1911.335,1910.645,0.6900000000000546,2,2023-09-13 01:59:00,-1.0,SL,XAUUSD
2023-09-14,Asia,1,1910.985,1907.415,3.5699999999999363,2,2023-09-14 01:59:00,-1.0,SL,XAUUSD
2023-09-15,Asia,1,1915.285,1909.715,5.570000000000164,8,2023-09-15 01:59:00,2.0,TP,XAUUSD
2023-09-18,Asia,-1,1929.785,1930.585,0.7999999999999545,1,2023-09-18 05:59:00,2.0,TP,XAUUSD
2023-09-19,Asia,-1,1932.915,1934.515,1.6000000000001364,1,2023-09-19 01:59:00,2.0,TP,XAUUSD
2023-09-20,Asia,1,1929.935,1928.385,1.5499999999999545,1,2023-09-20 01:59:00,-1.0,SL,XAUUSD
2023-09-21,Asia,-1,1926.745,1931.445,4.7000000000000455,8,2023-09-21 01:59:00,2.0,TP,XAUUSD
2023-09-22,Asia,1,1923.925,1919.025,4.899999999999864,2,2023-09-22 01:59:00,-0.05918367346938198,tiempo,XAUUSD
2023-09-25,Asia,-1,1923.635,1926.334,2.699000000000069,3,2023-09-25 01:59:00,-1.0,SL,XAUUSD
2023-09-28,Londres,-1,1875.768,1878.155,2.3869999999999436,1,2023-09-28 09:59:00,-1.0,SL,XAUUSD
2023-09-29,Londres,1,1873.475,1866.235,7.240000000000009,5,2023-09-29 09:59:00,-1.0,SL,XAUUSD
2023-10-02,NY,1,1831.778,1827.055,4.722999999999956,1,2023-10-02 17:59:00,-1.0,SL,XAUUSD
2023-10-03,Londres,-1,1828.815,1831.2549999999999,2.439999999999827,1,2023-10-03 13:59:00,2.0,TP,XAUUSD
2023-10-04,Londres,1,1822.055,1816.625,5.430000000000064,1,2023-10-04 09:59:00,-1.0,SL,XAUUSD
2023-10-05,Asia,1,1827.975,1820.365,7.6099999999999,7,2023-10-05 01:59:00,-1.0,SL,XAUUSD
2023-10-06,Asia,1,1822.715,1819.585,3.1299999999998818,3,2023-10-06 01:59:00,-1.0,SL,XAUUSD
2023-10-09,NY,1,1854.405,1844.874,9.530999999999949,1,2023-10-09 17:59:00,2.0,TP,XAUUSD
2023-10-10,Asia,-1,1860.705,1864.565,3.8600000000001273,1,2023-10-10 05:59:00,2.0,TP,XAUUSD
2023-10-11,Asia,-1,1861.575,1862.035,0.4600000000000364,2,2023-10-11 01:59:00,2.0,TP,XAUUSD
2023-10-12,Londres,-1,1873.755,1884.895,11.139999999999873,1,2023-10-12 13:59:00,-1.0,SL,XAUUSD
2023-10-13,Asia,1,1877.015,1871.555,5.460000000000036,3,2023-10-13 05:59:00,2.0,TP,XAUUSD
2023-10-16,Londres,1,1916.085,1908.075,8.009999999999991,1,2023-10-16 09:59:00,2.0,TP,XAUUSD
2023-10-17,Asia,1,1915.015,1913.225,1.790000000000191,1,2023-10-17 01:59:00,-1.0,SL,XAUUSD
2023-10-18,NY,-1,1947.318,1954.085,6.767000000000053,1,2023-10-18 20:59:00,-1.0,SL,XAUUSD
2023-10-19,Asia,-1,1946.825,1950.585,3.759999999999991,2,2023-10-19 05:59:00,-1.0,SL,XAUUSD
2023-10-20,Asia,-1,1977.525,1981.838,4.3129999999998745,1,2023-10-20 05:59:00,-1.0,SL,XAUUSD
2023-10-23,Asia,-1,1966.565,1978.545,11.980000000000018,4,2023-10-23 01:59:00,-1.0,SL,XAUUSD
2023-10-24,Asia,1,1976.485,1971.275,5.209999999999809,2,2023-10-24 01:59:00,-1.0,SL,XAUUSD
2023-10-25,Asia,1,1975.865,1969.835,6.029999999999973,3,2023-10-25 01:59:00,-1.0,SL,XAUUSD
2023-10-26,Asia,-1,1985.695,1989.5049999999999,3.8099999999999454,1,2023-10-26 05:59:00,-1.0,SL,XAUUSD
2023-10-27,Asia,-1,1988.865,1989.845,0.9800000000000182,1,2023-10-27 05:59:00,2.0,TP,XAUUSD
2023-10-30,Asia,-1,2001.935,2006.695,4.759999999999991,1,2023-10-30 02:59:00,2.0,TP,XAUUSD
2023-10-31,Asia,1,1992.055,1991.575,0.4800000000000182,1,2023-10-31 02:59:00,-1.0,SL,XAUUSD
2023-11-01,Asia,1,1977.005,1975.048,1.9570000000001073,8,2023-11-01 06:59:00,2.0,TP,XAUUSD
2023-11-02,Londres,-1,1988.365,1990.345,1.9800000000000182,3,2023-11-02 10:59:00,-1.0,SL,XAUUSD
2023-11-03,Asia,-1,1985.745,1987.785,2.040000000000191,1,2023-11-03 02:59:00,-1.0,SL,XAUUSD
2023-11-06,Asia,-1,1987.015,1992.965,5.949999999999818,3,2023-11-06 02:59:00,2.0,TP,XAUUSD
2023-11-08,Asia,-1,1968.535,1970.965,2.4299999999998363,1,2023-11-08 02:59:00,2.0,TP,XAUUSD
2023-11-09,Londres,1,1958.055,1944.715,13.340000000000146,1,2023-11-09 14:59:00,-1.0,SL,XAUUSD
2023-11-10,Asia,1,1958.235,1956.355,1.8799999999998818,7,2023-11-10 02:59:00,-1.0,SL,XAUUSD
2023-11-13,NY,1,1947.775,1931.505,16.269999999999982,1,2023-11-13 18:59:00,2.0,TP,XAUUSD
2023-11-14,Asia,1,1945.665,1944.305,1.3599999999999,7,2023-11-14 02:59:00,-1.0,SL,XAUUSD
2023-11-15,Londres,-1,1957.385,1975.158,17.77299999999991,1,2023-11-15 14:59:00,-1.0,SL,XAUUSD
2023-11-16,Asia,1,1966.895,1960.325,6.569999999999936,3,2023-11-16 06:59:00,2.0,TP,XAUUSD
2023-11-17,Londres,-1,1980.285,1991.745,11.459999999999809,1,2023-11-17 14:59:00,0.8926701570680793,tiempo,XAUUSD
2023-11-20,Asia,1,1982.755,1973.255,9.5,1,2023-11-20 02:59:00,-1.0,SL,XAUUSD
